"Town","FIPS","Year","Measure Type","Variable","Value"
"New Fairfield","0900150860","2008","Number","Rape",0
"New Hartford","0900551350","2008","Number","Rape",2
"New Haven","0900952070","2008","Number","Rape",59
"New London","0901152350","2008","Number","Rape",15
"New Milford","0900552630","2008","Number","Rape",4
"Newington","0900352140","2008","Number","Rape",5
"Newtown","0900152980","2008","Number","Rape",1
"Norfolk","0900553470","2008","Number","Rape",0
"North Branford","0900953890","2008","Number","Rape",3
"North Canaan","0900554030","2008","Number","Rape",0
"North Haven","0900954870","2008","Number","Rape",0
"North Stonington","0901155500","2008","Number","Rape",0
"Norwalk","0900156060","2008","Number","Rape",11
"Norwich","0901156270","2008","Number","Rape",25
"Old Lyme","0901157040","2008","Number","Rape",0
"Old Saybrook","0900757320","2008","Number","Rape",0
"Orange","0900957600","2008","Number","Rape",0
"Oxford","0900958300","2008","Number","Rape",1
"Plainfield","0901559980","2008","Number","Rape",1
"Plainville","0900360120","2008","Number","Rape",0
"Plymouth","0900560750","2008","Number","Rape",2
"Pomfret","0901561030","2008","Number","Rape",1
"Portland","0900761800","2008","Number","Rape",1
"Preston","0901162150","2008","Number","Rape",0
"Prospect","0900962290","2008","Number","Rape",0
"Putnam","0901562710","2008","Number","Rape",1
"Redding","0900163480","2008","Number","Rape",0
"Ridgefield","0900163970","2008","Number","Rape",0
"Rocky Hill","0900365370","2008","Number","Rape",3
"Roxbury","0900565930","2008","Number","Rape",0
"Salem","0901166210","2008","Number","Rape",0
"Salisbury","0900566420","2008","Number","Rape",0
"Scotland","0901567400","2008","Number","Rape",0
"Seymour","0900967610","2008","Number","Rape",13
"Sharon","0900567960","2008","Number","Rape",0
"Shelton","0900168170","2008","Number","Rape",3
"Sherman","0900168310","2008","Number","Rape",1
"Simsbury","0900368940","2008","Number","Rape",1
"Somers","0901369220","2008","Number","Rape",0
"South Windsor","0900371390","2008","Number","Rape",3
"Southbury","0900969640","2008","Number","Rape",1
"Southington","0900370550","2008","Number","Rape",7
"Sprague","0901171670","2008","Number","Rape",1
"Stafford","0901372090","2008","Number","Rape",3
"Stamford","0900173070","2008","Number","Rape",25
"Sterling","0901573420","2008","Number","Rape",1
"Stonington","0901173770","2008","Number","Rape",0
"Stratford","0900174190","2008","Number","Rape",4
"Suffield","0900374540","2008","Number","Rape",1
"Thomaston","0900575730","2008","Number","Rape",0
"Thompson","0901575870","2008","Number","Rape",4
"Tolland","0901376290","2008","Number","Rape",1
"Torrington","0900576570","2008","Number","Rape",6
"Trumbull","0900177200","2008","Number","Rape",0
"Union","0901377830","2008","Number","Rape",0
"Vernon","0901378250","2008","Number","Rape",4
"Voluntown","0901178600","2008","Number","Rape",0
"Wallingford","0900978740","2008","Number","Rape",6
"Warren","0900579510","2008","Number","Rape",0
"Washington","0900579720","2008","Number","Rape",0
"Waterbury","0900980070","2008","Number","Rape",19
"Waterford","0901180280","2008","Number","Rape",2
"Watertown","0900580490","2008","Number","Rape",4
"West Hartford","0900382590","2008","Number","Rape",4
"West Haven","0900982870","2008","Number","Rape",0
"Westbrook","0900781680","2008","Number","Rape",2
"Weston","0900183430","2008","Number","Rape",0
"Westport","0900183500","2008","Number","Rape",2
"Wethersfield","0900384900","2008","Number","Rape",4
"Willington","0901385950","2008","Number","Rape",1
"Wilton","0900186370","2008","Number","Rape",0
"Winchester","0900586440","2008","Number","Rape",3
"Windham","0901586790","2008","Number","Rape",1
"Windsor","0900387000","2008","Number","Rape",4
"Windsor Locks","0900387070","2008","Number","Rape",5
"Wolcott","0900987560","2008","Number","Rape",0
"Woodbridge","0900987700","2008","Number","Rape",0
"Woodbury","0900587910","2008","Number","Rape",1
"Woodstock","0901588190","2008","Number","Rape",0
"Andover","0901301080","2009","Number","Rape",1
"Ansonia","0900901220","2009","Number","Rape",4
"Ashford","0901501430","2009","Number","Rape",0
"Avon","0900302060","2009","Number","Rape",2
"Barkhamsted","0900502760","2009","Number","Rape",0
"Beacon Falls","0900903250","2009","Number","Rape",0
"Berlin","0900304300","2009","Number","Rape",1
"Bethany","0900904580","2009","Number","Rape",0
"Bethel","0900104720","2009","Number","Rape",0
"Bethlehem","0900504930","2009","Number","Rape",0
"Bloomfield","0900305910","2009","Number","Rape",10
"Bolton","0901306260","2009","Number","Rape",1
"Bozrah","0901106820","2009","Number","Rape",0
"Branford","0900907310","2009","Number","Rape",0
"Bridgeport","0900108070","2009","Number","Rape",45
"Bridgewater","0900508210","2009","Number","Rape",0
"Bristol","0900308490","2009","Number","Rape",11
"Brookfield","0900108980","2009","Number","Rape",0
"Brooklyn","0901509190","2009","Number","Rape",1
"Burlington","0900310100","2009","Number","Rape",0
"Canaan","0900510940","2009","Number","Rape",0
"Canterbury","0901512130","2009","Number","Rape",0
"Canton","0900312270","2009","Number","Rape",0
"Chaplin","0901513810","2009","Number","Rape",1
"Cheshire","0900914160","2009","Number","Rape",0
"Chester","0900714300","2009","Number","Rape",0
"Clinton","0900715350","2009","Number","Rape",3
"Colchester","0901115910","2009","Number","Rape",2
"Colebrook","0900516050","2009","Number","Rape",0
"Columbia","0901316400","2009","Number","Rape",1
"Connecticut","09","2009","Number","Rape",591
"Cornwall","0900517240","2009","Number","Rape",0
"Coventry","0901317800","2009","Number","Rape",4
"Cromwell","0900718080","2009","Number","Rape",2
"Danbury","0900118500","2009","Number","Rape",20
"Darien","0900118850","2009","Number","Rape",0
"Deep River","0900719130","2009","Number","Rape",0
"Derby","0900919550","2009","Number","Rape",3
"Durham","0900720810","2009","Number","Rape",0
"East Granby","0900322070","2009","Number","Rape",0
"East Haddam","0900722280","2009","Number","Rape",2
"East Hampton","0900722490","2009","Number","Rape",0
"East Hartford","0900322630","2009","Number","Rape",13
"East Haven","0900922910","2009","Number","Rape",3
"East Lyme","0901123400","2009","Number","Rape",3
"East Windsor","0900324800","2009","Number","Rape",2
"Eastford","0901521860","2009","Number","Rape",1
"Easton","0900123890","2009","Number","Rape",0
"Ellington","0901325360","2009","Number","Rape",1
"Enfield","0900325990","2009","Number","Rape",0
"Essex","0900726270","2009","Number","Rape",0
"Fairfield","0900126620","2009","Number","Rape",2
"Farmington","0900327600","2009","Number","Rape",6
"Franklin","0901129910","2009","Number","Rape",1
"Glastonbury","0900331240","2009","Number","Rape",2
"Goshen","0900532290","2009","Number","Rape",0
"Granby","0900332640","2009","Number","Rape",2
"Greenwich","0900133620","2009","Number","Rape",2
"Griswold","0901133900","2009","Number","Rape",2
"Groton","0901134250","2009","Number","Rape",9
"Guilford","0900934950","2009","Number","Rape",5
"Haddam","0900735230","2009","Number","Rape",1
"Hamden","0900935650","2009","Number","Rape",10
"Hampton","0901536000","2009","Number","Rape",0
"Hartford","0900337070","2009","Number","Rape",49
"Hartland","0900337140","2009","Number","Rape",0
"Harwinton","0900537280","2009","Number","Rape",2
"Hebron","0901337910","2009","Number","Rape",1
"Kent","0900540290","2009","Number","Rape",0
"Killingly","0901540500","2009","Number","Rape",5
"Killingworth","0900740710","2009","Number","Rape",0
"Lebanon","0901142390","2009","Number","Rape",1
"Ledyard","0901142600","2009","Number","Rape",3
"Lisbon","0901143230","2009","Number","Rape",1
"Litchfield","0900543370","2009","Number","Rape",6
"Lyme","0901144210","2009","Number","Rape",0
"Madison","0900944560","2009","Number","Rape",0
"Manchester","0900344700","2009","Number","Rape",12
"Mansfield","0901344910","2009","Number","Rape",0
"Marlborough","0900345820","2009","Number","Rape",0
"Meriden","0900946520","2009","Number","Rape",10
"Middlebury","0900946940","2009","Number","Rape",1
"Middlefield","0900747080","2009","Number","Rape",0
"Middletown","0900747360","2009","Number","Rape",0
"Milford","0900947535","2009","Number","Rape",6
"Monroe","0900148620","2009","Number","Rape",2
"Montville","0901148900","2009","Number","Rape",2
"Morris","0900549460","2009","Number","Rape",0
"Naugatuck","0900949950","2009","Number","Rape",7
"New Britain","0900350440","2009","Number","Rape",4
"New Canaan","0900150580","2009","Number","Rape",2
"New Fairfield","0900150860","2009","Number","Rape",1
"New Hartford","0900551350","2009","Number","Rape",0
"New Haven","0900952070","2009","Number","Rape",58
"New London","0901152350","2009","Number","Rape",16
"New Milford","0900552630","2009","Number","Rape",3
"Newington","0900352140","2009","Number","Rape",8
"Newtown","0900152980","2009","Number","Rape",1
"Norfolk","0900553470","2009","Number","Rape",0
"North Branford","0900953890","2009","Number","Rape",0
"North Canaan","0900554030","2009","Number","Rape",1
"North Haven","0900954870","2009","Number","Rape",0
"North Stonington","0901155500","2009","Number","Rape",0
"Norwalk","0900156060","2009","Number","Rape",10
"Norwich","0901156270","2009","Number","Rape",23
"Old Lyme","0901157040","2009","Number","Rape",1
"Old Saybrook","0900757320","2009","Number","Rape",0
"Orange","0900957600","2009","Number","Rape",0
"Oxford","0900958300","2009","Number","Rape",0
"Plainfield","0901559980","2009","Number","Rape",0
"Plainville","0900360120","2009","Number","Rape",2
"Plymouth","0900560750","2009","Number","Rape",0
"Pomfret","0901561030","2009","Number","Rape",0
"Portland","0900761800","2009","Number","Rape",0
"Preston","0901162150","2009","Number","Rape",2
"Prospect","0900962290","2009","Number","Rape",0
"Putnam","0901562710","2009","Number","Rape",0
"Redding","0900163480","2009","Number","Rape",0
"Ridgefield","0900163970","2009","Number","Rape",0
"Rocky Hill","0900365370","2009","Number","Rape",1
"Roxbury","0900565930","2009","Number","Rape",0
"Salem","0901166210","2009","Number","Rape",0
"Salisbury","0900566420","2009","Number","Rape",0
"Scotland","0901567400","2009","Number","Rape",1
"Seymour","0900967610","2009","Number","Rape",5
"Sharon","0900567960","2009","Number","Rape",1
"Shelton","0900168170","2009","Number","Rape",2
"Sherman","0900168310","2009","Number","Rape",0
"Simsbury","0900368940","2009","Number","Rape",0
"Somers","0901369220","2009","Number","Rape",0
"South Windsor","0900371390","2009","Number","Rape",3
"Southbury","0900969640","2009","Number","Rape",1
"Southington","0900370550","2009","Number","Rape",4
"Sprague","0901171670","2009","Number","Rape",0
"Stafford","0901372090","2009","Number","Rape",0
"Stamford","0900173070","2009","Number","Rape",30
"Sterling","0901573420","2009","Number","Rape",1
"Stonington","0901173770","2009","Number","Rape",4
"Stratford","0900174190","2009","Number","Rape",10
"Suffield","0900374540","2009","Number","Rape",1
"Thomaston","0900575730","2009","Number","Rape",0
"Thompson","0901575870","2009","Number","Rape",1
"Tolland","0901376290","2009","Number","Rape",0
"Torrington","0900576570","2009","Number","Rape",12
"Trumbull","0900177200","2009","Number","Rape",5
"Union","0901377830","2009","Number","Rape",0
"Vernon","0901378250","2009","Number","Rape",4
"Voluntown","0901178600","2009","Number","Rape",0
"Wallingford","0900978740","2009","Number","Rape",7
"Warren","0900579510","2009","Number","Rape",0
"Washington","0900579720","2009","Number","Rape",0
"Waterbury","0900980070","2009","Number","Rape",15
"Waterford","0901180280","2009","Number","Rape",3
"Watertown","0900580490","2009","Number","Rape",5
"West Hartford","0900382590","2009","Number","Rape",6
"West Haven","0900982870","2009","Number","Rape",0
"Westbrook","0900781680","2009","Number","Rape",1
"Weston","0900183430","2009","Number","Rape",0
"Westport","0900183500","2009","Number","Rape",1
"Wethersfield","0900384900","2009","Number","Rape",5
"Willington","0901385950","2009","Number","Rape",0
"Wilton","0900186370","2009","Number","Rape",0
"Winchester","0900586440","2009","Number","Rape",4
"Windham","0901586790","2009","Number","Rape",3
"Windsor","0900387000","2009","Number","Rape",7
"Windsor Locks","0900387070","2009","Number","Rape",4
"Wolcott","0900987560","2009","Number","Rape",0
"Woodbridge","0900987700","2009","Number","Rape",0
"Woodbury","0900587910","2009","Number","Rape",1
"Woodstock","0901588190","2009","Number","Rape",0
"Andover","0901301080","2010","Number","Rape",0
"Ansonia","0900901220","2010","Number","Rape",2
"Ashford","0901501430","2010","Number","Rape",0
"Avon","0900302060","2010","Number","Rape",1
"Barkhamsted","0900502760","2010","Number","Rape",1
"Beacon Falls","0900903250","2010","Number","Rape",1
"Berlin","0900304300","2010","Number","Rape",2
"Bethany","0900904580","2010","Number","Rape",0
"Bethel","0900104720","2010","Number","Rape",1
"Bethlehem","0900504930","2010","Number","Rape",0
"Bloomfield","0900305910","2010","Number","Rape",6
"Bolton","0901306260","2010","Number","Rape",1
"Bozrah","0901106820","2010","Number","Rape",1
"Branford","0900907310","2010","Number","Rape",0
"Bridgeport","0900108070","2010","Number","Rape",43
"Bridgewater","0900508210","2010","Number","Rape",0
"Bristol","0900308490","2010","Number","Rape",4
"Brookfield","0900108980","2010","Number","Rape",0
"Brooklyn","0901509190","2010","Number","Rape",2
"Burlington","0900310100","2010","Number","Rape",1
"Canaan","0900510940","2010","Number","Rape",0
"Canterbury","0901512130","2010","Number","Rape",0
"Canton","0900312270","2010","Number","Rape",0
"Chaplin","0901513810","2010","Number","Rape",1
"Cheshire","0900914160","2010","Number","Rape",0
"Chester","0900714300","2010","Number","Rape",0
"Clinton","0900715350","2010","Number","Rape",7
"Colchester","0901115910","2010","Number","Rape",3
"Colebrook","0900516050","2010","Number","Rape",0
"Columbia","0901316400","2010","Number","Rape",1
"Connecticut","09","2010","Number","Rape",537
"Cornwall","0900517240","2010","Number","Rape",0
"Coventry","0901317800","2010","Number","Rape",1
"Cromwell","0900718080","2010","Number","Rape",1
"Danbury","0900118500","2010","Number","Rape",18
"Darien","0900118850","2010","Number","Rape",0
"Deep River","0900719130","2010","Number","Rape",0
"Derby","0900919550","2010","Number","Rape",2
"Durham","0900720810","2010","Number","Rape",0
"East Granby","0900322070","2010","Number","Rape",2
"East Haddam","0900722280","2010","Number","Rape",0
"East Hampton","0900722490","2010","Number","Rape",0
"East Hartford","0900322630","2010","Number","Rape",21
"East Haven","0900922910","2010","Number","Rape",2
"East Lyme","0901123400","2010","Number","Rape",4
"East Windsor","0900324800","2010","Number","Rape",2
"Eastford","0901521860","2010","Number","Rape",0
"Easton","0900123890","2010","Number","Rape",0
"Ellington","0901325360","2010","Number","Rape",2
"Enfield","0900325990","2010","Number","Rape",0
"Essex","0900726270","2010","Number","Rape",0
"Fairfield","0900126620","2010","Number","Rape",3
"Farmington","0900327600","2010","Number","Rape",6
"Franklin","0901129910","2010","Number","Rape",0
"Glastonbury","0900331240","2010","Number","Rape",1
"Goshen","0900532290","2010","Number","Rape",0
"Granby","0900332640","2010","Number","Rape",1
"Greenwich","0900133620","2010","Number","Rape",2
"Griswold","0901133900","2010","Number","Rape",1
"Groton","0901134250","2010","Number","Rape",4
"Guilford","0900934950","2010","Number","Rape",2
"Haddam","0900735230","2010","Number","Rape",0
"Hamden","0900935650","2010","Number","Rape",3
"Hampton","0901536000","2010","Number","Rape",0
"Hartford","0900337070","2010","Number","Rape",46
"Hartland","0900337140","2010","Number","Rape",0
"Harwinton","0900537280","2010","Number","Rape",0
"Hebron","0901337910","2010","Number","Rape",0
"Kent","0900540290","2010","Number","Rape",0
"Killingly","0901540500","2010","Number","Rape",5
"Killingworth","0900740710","2010","Number","Rape",0
"Lebanon","0901142390","2010","Number","Rape",0
"Ledyard","0901142600","2010","Number","Rape",0
"Lisbon","0901143230","2010","Number","Rape",1
"Litchfield","0900543370","2010","Number","Rape",1
"Lyme","0901144210","2010","Number","Rape",0
"Madison","0900944560","2010","Number","Rape",3
"Manchester","0900344700","2010","Number","Rape",11
"Mansfield","0901344910","2010","Number","Rape",1
"Marlborough","0900345820","2010","Number","Rape",0
"Meriden","0900946520","2010","Number","Rape",6
"Middlebury","0900946940","2010","Number","Rape",1
"Middlefield","0900747080","2010","Number","Rape",0
"Middletown","0900747360","2010","Number","Rape",4
"Milford","0900947535","2010","Number","Rape",3
"Monroe","0900148620","2010","Number","Rape",0
"Montville","0901148900","2010","Number","Rape",1
"Morris","0900549460","2010","Number","Rape",0
"Naugatuck","0900949950","2010","Number","Rape",8
"New Britain","0900350440","2010","Number","Rape",6
"New Canaan","0900150580","2010","Number","Rape",0
"New Fairfield","0900150860","2010","Number","Rape",1
"New Hartford","0900551350","2010","Number","Rape",0
"New Haven","0900952070","2010","Number","Rape",62
"New London","0901152350","2010","Number","Rape",14
"New Milford","0900552630","2010","Number","Rape",3
"Newington","0900352140","2010","Number","Rape",5
"Newtown","0900152980","2010","Number","Rape",3
"Norfolk","0900553470","2010","Number","Rape",0
"North Branford","0900953890","2010","Number","Rape",1
"North Canaan","0900554030","2010","Number","Rape",3
"North Haven","0900954870","2010","Number","Rape",0
"North Stonington","0901155500","2010","Number","Rape",1
"Norwalk","0900156060","2010","Number","Rape",12
"Norwich","0901156270","2010","Number","Rape",21
"Old Lyme","0901157040","2010","Number","Rape",0
"Old Saybrook","0900757320","2010","Number","Rape",0
"Orange","0900957600","2010","Number","Rape",0
"Oxford","0900958300","2010","Number","Rape",0
"Plainfield","0901559980","2010","Number","Rape",4
"Plainville","0900360120","2010","Number","Rape",0
"Plymouth","0900560750","2010","Number","Rape",2
"Pomfret","0901561030","2010","Number","Rape",4
"Portland","0900761800","2010","Number","Rape",0
"Preston","0901162150","2010","Number","Rape",0
"Prospect","0900962290","2010","Number","Rape",0
"Putnam","0901562710","2010","Number","Rape",4
"Redding","0900163480","2010","Number","Rape",0
"Ridgefield","0900163970","2010","Number","Rape",0
"Rocky Hill","0900365370","2010","Number","Rape",2
"Roxbury","0900565930","2010","Number","Rape",0
"Salem","0901166210","2010","Number","Rape",0
"Salisbury","0900566420","2010","Number","Rape",1
"Scotland","0901567400","2010","Number","Rape",0
"Seymour","0900967610","2010","Number","Rape",3
"Sharon","0900567960","2010","Number","Rape",0
"Shelton","0900168170","2010","Number","Rape",5
"Sherman","0900168310","2010","Number","Rape",0
"Simsbury","0900368940","2010","Number","Rape",1
"Somers","0901369220","2010","Number","Rape",0
"South Windsor","0900371390","2010","Number","Rape",1
"Southbury","0900969640","2010","Number","Rape",0
"Southington","0900370550","2010","Number","Rape",5
"Sprague","0901171670","2010","Number","Rape",0
"Stafford","0901372090","2010","Number","Rape",1
"Stamford","0900173070","2010","Number","Rape",18
"Sterling","0901573420","2010","Number","Rape",0
"Stonington","0901173770","2010","Number","Rape",1
"Stratford","0900174190","2010","Number","Rape",15
"Suffield","0900374540","2010","Number","Rape",0
"Thomaston","0900575730","2010","Number","Rape",1
"Thompson","0901575870","2010","Number","Rape",0
"Tolland","0901376290","2010","Number","Rape",0
"Torrington","0900576570","2010","Number","Rape",17
"Trumbull","0900177200","2010","Number","Rape",3
"Union","0901377830","2010","Number","Rape",0
"Vernon","0901378250","2010","Number","Rape",5
"Voluntown","0901178600","2010","Number","Rape",0
"Wallingford","0900978740","2010","Number","Rape",4
"Warren","0900579510","2010","Number","Rape",0
"Washington","0900579720","2010","Number","Rape",0
"Waterbury","0900980070","2010","Number","Rape",6
"Waterford","0901180280","2010","Number","Rape",2
"Watertown","0900580490","2010","Number","Rape",3
"West Hartford","0900382590","2010","Number","Rape",2
"West Haven","0900982870","2010","Number","Rape",1
"Westbrook","0900781680","2010","Number","Rape",0
"Weston","0900183430","2010","Number","Rape",1
"Westport","0900183500","2010","Number","Rape",1
"Wethersfield","0900384900","2010","Number","Rape",1
"Willington","0901385950","2010","Number","Rape",2
"Wilton","0900186370","2010","Number","Rape",0
"Winchester","0900586440","2010","Number","Rape",3
"Windham","0901586790","2010","Number","Rape",10
"Windsor","0900387000","2010","Number","Rape",3
"Windsor Locks","0900387070","2010","Number","Rape",8
"Wolcott","0900987560","2010","Number","Rape",1
"Woodbridge","0900987700","2010","Number","Rape",0
"Woodbury","0900587910","2010","Number","Rape",1
"Woodstock","0901588190","2010","Number","Rape",0
"Andover","0901301080","1998","Rate (per 100,000)","Rape",0
"Ansonia","0900901220","1998","Rate (per 100,000)","Rape",80.85
"Ashford","0901501430","1998","Rate (per 100,000)","Rape",24.4
"Avon","0900302060","1998","Rate (per 100,000)","Rape",0
"Barkhamsted","0900502760","1998","Rate (per 100,000)","Rape",0
"Beacon Falls","0900903250","1998","Rate (per 100,000)","Rape",0
"Berlin","0900304300","1998","Rate (per 100,000)","Rape",0
"Bethany","0900904580","1998","Rate (per 100,000)","Rape",0
"Bethel","0900104720","1998","Rate (per 100,000)","Rape",5.53
"Bethlehem","0900504930","1998","Rate (per 100,000)","Rape",0
"Bloomfield","0900305910","1998","Rate (per 100,000)","Rape",35.74
"Bolton","0901306260","1998","Rate (per 100,000)","Rape",0
"Bozrah","0901106820","1998","Rate (per 100,000)","Rape",0
"Branford","0900907310","1998","Rate (per 100,000)","Rape",45.32
"Bridgeport","0900108070","1998","Rate (per 100,000)","Rape",53.04
"Bridgewater","0900508210","1998","Rate (per 100,000)","Rape",0
"Bristol","0900308490","1998","Rate (per 100,000)","Rape",29.97
"Brookfield","0900108980","1998","Rate (per 100,000)","Rape",0
"Brooklyn","0901509190","1998","Rate (per 100,000)","Rape",0
"Burlington","0900310100","1998","Rate (per 100,000)","Rape",0
"Canaan","0900510940","1998","Rate (per 100,000)","Rape",0
"Canterbury","0901512130","1998","Rate (per 100,000)","Rape",0
"Canton","0900312270","1998","Rate (per 100,000)","Rape",0
"Chaplin","0901513810","1998","Rate (per 100,000)","Rape",0
"Cheshire","0900914160","1998","Rate (per 100,000)","Rape",0
"Chester","0900714300","1998","Rate (per 100,000)","Rape",0
"Clinton","0900715350","1998","Rate (per 100,000)","Rape",0
"Colchester","0901115910","1998","Rate (per 100,000)","Rape",6.87
"Colebrook","0900516050","1998","Rate (per 100,000)","Rape",0
"Columbia","0901316400","1998","Rate (per 100,000)","Rape",0
"Connecticut","09","1998","Rate (per 100,000)","Rape",21.35
"Cornwall","0900517240","1998","Rate (per 100,000)","Rape",0
"Coventry","0901317800","1998","Rate (per 100,000)","Rape",0
"Cromwell","0900718080","1998","Rate (per 100,000)","Rape",38.85
"Danbury","0900118500","1998","Rate (per 100,000)","Rape",21.38
"Darien","0900118850","1998","Rate (per 100,000)","Rape",0
"Deep River","0900719130","1998","Rate (per 100,000)","Rape",0
"Derby","0900919550","1998","Rate (per 100,000)","Rape",24.21
"Durham","0900720810","1998","Rate (per 100,000)","Rape",0
"East Granby","0900322070","1998","Rate (per 100,000)","Rape",0
"East Haddam","0900722280","1998","Rate (per 100,000)","Rape",0
"East Hampton","0900722490","1998","Rate (per 100,000)","Rape",0
"East Hartford","0900322630","1998","Rate (per 100,000)","Rape",16.14
"East Haven","0900922910","1998","Rate (per 100,000)","Rape",7.09
"East Lyme","0901123400","1998","Rate (per 100,000)","Rape",0
"East Windsor","0900324800","1998","Rate (per 100,000)","Rape",101.85
"Eastford","0901521860","1998","Rate (per 100,000)","Rape",0
"Easton","0900123890","1998","Rate (per 100,000)","Rape",0
"Ellington","0901325360","1998","Rate (per 100,000)","Rape",0
"Enfield","0900325990","1998","Rate (per 100,000)","Rape",2.21
"Essex","0900726270","1998","Rate (per 100,000)","Rape",0
"Fairfield","0900126620","1998","Rate (per 100,000)","Rape",5.23
"Farmington","0900327600","1998","Rate (per 100,000)","Rape",29.61
"Franklin","0901129910","1998","Rate (per 100,000)","Rape",0
"Glastonbury","0900331240","1998","Rate (per 100,000)","Rape",15.69
"Goshen","0900532290","1998","Rate (per 100,000)","Rape",37.08
"Granby","0900332640","1998","Rate (per 100,000)","Rape",28.99
"Greenwich","0900133620","1998","Rate (per 100,000)","Rape",8.18
"Griswold","0901133900","1998","Rate (per 100,000)","Rape",9.25
"Groton","0901134250","1998","Rate (per 100,000)","Rape",120.28
"Guilford","0900934950","1998","Rate (per 100,000)","Rape",28.04
"Haddam","0900735230","1998","Rate (per 100,000)","Rape",0
"Hamden","0900935650","1998","Rate (per 100,000)","Rape",15.81
"Hampton","0901536000","1998","Rate (per 100,000)","Rape",0
"Hartford","0900337070","1998","Rate (per 100,000)","Rape",51
"Hartland","0900337140","1998","Rate (per 100,000)","Rape",0
"Harwinton","0900537280","1998","Rate (per 100,000)","Rape",0
"Hebron","0901337910","1998","Rate (per 100,000)","Rape",0
"Kent","0900540290","1998","Rate (per 100,000)","Rape",0
"Killingly","0901540500","1998","Rate (per 100,000)","Rape",54.64
"Killingworth","0900740710","1998","Rate (per 100,000)","Rape",0
"Lebanon","0901142390","1998","Rate (per 100,000)","Rape",0
"Ledyard","0901142600","1998","Rate (per 100,000)","Rape",13.62
"Lisbon","0901143230","1998","Rate (per 100,000)","Rape",0
"Litchfield","0900543370","1998","Rate (per 100,000)","Rape",0
"Lyme","0901144210","1998","Rate (per 100,000)","Rape",0
"Madison","0900944560","1998","Rate (per 100,000)","Rape",0
"Manchester","0900344700","1998","Rate (per 100,000)","Rape",73.07
"Mansfield","0901344910","1998","Rate (per 100,000)","Rape",19.31
"Marlborough","0900345820","1998","Rate (per 100,000)","Rape",17.52
"Meriden","0900946520","1998","Rate (per 100,000)","Rape",6.87
"Middlebury","0900946940","1998","Rate (per 100,000)","Rape",0
"Middlefield","0900747080","1998","Rate (per 100,000)","Rape",0
"Middletown","0900747360","1998","Rate (per 100,000)","Rape",6.95
"Milford","0900947535","1998","Rate (per 100,000)","Rape",36.33
"Monroe","0900148620","1998","Rate (per 100,000)","Rape",0
"Montville","0901148900","1998","Rate (per 100,000)","Rape",0
"Morris","0900549460","1998","Rate (per 100,000)","Rape",0
"Naugatuck","0900949950","1998","Rate (per 100,000)","Rape",3.23
"New Britain","0900350440","1998","Rate (per 100,000)","Rape",18.17
"New Canaan","0900150580","1998","Rate (per 100,000)","Rape",0
"New Fairfield","0900150860","1998","Rate (per 100,000)","Rape",0
"New Hartford","0900551350","1998","Rate (per 100,000)","Rape",0
"New Haven","0900952070","1998","Rate (per 100,000)","Rape",53.39
"New London","0901152350","1998","Rate (per 100,000)","Rape",38.95
"New Milford","0900552630","1998","Rate (per 100,000)","Rape",18.44
"Newington","0900352140","1998","Rate (per 100,000)","Rape",37.53
"Newtown","0900152980","1998","Rate (per 100,000)","Rape",11.99
"Norfolk","0900553470","1998","Rate (per 100,000)","Rape",0
"North Branford","0900953890","1998","Rate (per 100,000)","Rape",0
"North Canaan","0900554030","1998","Rate (per 100,000)","Rape",29.85
"North Haven","0900954870","1998","Rate (per 100,000)","Rape",8.68
"North Stonington","0901155500","1998","Rate (per 100,000)","Rape",20.04
"Norwalk","0900156060","1998","Rate (per 100,000)","Rape",10.85
"Norwich","0901156270","1998","Rate (per 100,000)","Rape",55.38
"Old Lyme","0901157040","1998","Rate (per 100,000)","Rape",13.5
"Old Saybrook","0900757320","1998","Rate (per 100,000)","Rape",0
"Orange","0900957600","1998","Rate (per 100,000)","Rape",22.67
"Oxford","0900958300","1998","Rate (per 100,000)","Rape",0
"Plainfield","0901559980","1998","Rate (per 100,000)","Rape",13.68
"Plainville","0900360120","1998","Rate (per 100,000)","Rape",23.08
"Plymouth","0900560750","1998","Rate (per 100,000)","Rape",17.19
"Pomfret","0901561030","1998","Rate (per 100,000)","Rape",26.33
"Portland","0900761800","1998","Rate (per 100,000)","Rape",0
"Preston","0901162150","1998","Rate (per 100,000)","Rape",42.66
"Prospect","0900962290","1998","Rate (per 100,000)","Rape",0
"Putnam","0901562710","1998","Rate (per 100,000)","Rape",0
"Redding","0900163480","1998","Rate (per 100,000)","Rape",0
"Ridgefield","0900163970","1998","Rate (per 100,000)","Rape",0
"Rocky Hill","0900365370","1998","Rate (per 100,000)","Rape",0
"Roxbury","0900565930","1998","Rate (per 100,000)","Rape",0
"Salem","0901166210","1998","Rate (per 100,000)","Rape",51.84
"Salisbury","0900566420","1998","Rate (per 100,000)","Rape",0
"Scotland","0901567400","1998","Rate (per 100,000)","Rape",0
"Seymour","0900967610","1998","Rate (per 100,000)","Rape",12.94
"Sharon","0900567960","1998","Rate (per 100,000)","Rape",0
"Shelton","0900168170","1998","Rate (per 100,000)","Rape",2.62
"Sherman","0900168310","1998","Rate (per 100,000)","Rape",0
"Simsbury","0900368940","1998","Rate (per 100,000)","Rape",0
"Somers","0901369220","1998","Rate (per 100,000)","Rape",0
