"Town","FIPS","Year","Measure Type","Variable","Value"
"Ridgefield","0900163970","1998","Number","Murder",0
"Rocky Hill","0900365370","1998","Number","Murder",0
"Roxbury","0900565930","1998","Number","Murder",0
"Salem","0901166210","1998","Number","Murder",0
"Salisbury","0900566420","1998","Number","Murder",0
"Scotland","0901567400","1998","Number","Murder",0
"Seymour","0900967610","1998","Number","Murder",0
"Sharon","0900567960","1998","Number","Murder",0
"Shelton","0900168170","1998","Number","Murder",0
"Sherman","0900168310","1998","Number","Murder",0
"Simsbury","0900368940","1998","Number","Murder",2
"Somers","0901369220","1998","Number","Murder",0
"South Windsor","0900371390","1998","Number","Murder",0
"Southbury","0900969640","1998","Number","Murder",0
"Southington","0900370550","1998","Number","Murder",0
"Sprague","0901171670","1998","Number","Murder",0
"Stafford","0901372090","1998","Number","Murder",0
"Stamford","0900173070","1998","Number","Murder",3
"Sterling","0901573420","1998","Number","Murder",0
"Stonington","0901173770","1998","Number","Murder",0
"Stratford","0900174190","1998","Number","Murder",1
"Suffield","0900374540","1998","Number","Murder",0
"Thomaston","0900575730","1998","Number","Murder",0
"Thompson","0901575870","1998","Number","Murder",0
"Tolland","0901376290","1998","Number","Murder",1
"Torrington","0900576570","1998","Number","Murder",0
"Trumbull","0900177200","1998","Number","Murder",0
"Union","0901377830","1998","Number","Murder",0
"Vernon","0901378250","1998","Number","Murder",0
"Voluntown","0901178600","1998","Number","Murder",0
"Wallingford","0900978740","1998","Number","Murder",1
"Warren","0900579510","1998","Number","Murder",0
"Washington","0900579720","1998","Number","Murder",0
"Waterbury","0900980070","1998","Number","Murder",7
"Waterford","0901180280","1998","Number","Murder",1
"Watertown","0900580490","1998","Number","Murder",1
"West Hartford","0900382590","1998","Number","Murder",0
"West Haven","0900982870","1998","Number","Murder",2
"Westbrook","0900781680","1998","Number","Murder",0
"Weston","0900183430","1998","Number","Murder",0
"Westport","0900183500","1998","Number","Murder",0
"Wethersfield","0900384900","1998","Number","Murder",0
"Willington","0901385950","1998","Number","Murder",0
"Wilton","0900186370","1998","Number","Murder",0
"Winchester","0900586440","1998","Number","Murder",1
"Windham","0901586790","1998","Number","Murder",0
"Windsor","0900387000","1998","Number","Murder",2
"Windsor Locks","0900387070","1998","Number","Murder",0
"Wolcott","0900987560","1998","Number","Murder",0
"Woodbridge","0900987700","1998","Number","Murder",0
"Woodbury","0900587910","1998","Number","Murder",0
"Woodstock","0901588190","1998","Number","Murder",0
"Andover","0901301080","1999","Number","Murder",0
"Ansonia","0900901220","1999","Number","Murder",1
"Ashford","0901501430","1999","Number","Murder",0
"Avon","0900302060","1999","Number","Murder",0
"Barkhamsted","0900502760","1999","Number","Murder",0
"Beacon Falls","0900903250","1999","Number","Murder",0
"Berlin","0900304300","1999","Number","Murder",0
"Bethany","0900904580","1999","Number","Murder",0
"Bethel","0900104720","1999","Number","Murder",0
"Bethlehem","0900504930","1999","Number","Murder",0
"Bloomfield","0900305910","1999","Number","Murder",0
"Bolton","0901306260","1999","Number","Murder",0
"Bozrah","0901106820","1999","Number","Murder",0
"Branford","0900907310","1999","Number","Murder",1
"Bridgeport","0900108070","1999","Number","Murder",30
"Bridgewater","0900508210","1999","Number","Murder",0
"Bristol","0900308490","1999","Number","Murder",2
"Brookfield","0900108980","1999","Number","Murder",0
"Brooklyn","0901509190","1999","Number","Murder",0
"Burlington","0900310100","1999","Number","Murder",0
"Canaan","0900510940","1999","Number","Murder",0
"Canterbury","0901512130","1999","Number","Murder",0
"Canton","0900312270","1999","Number","Murder",0
"Chaplin","0901513810","1999","Number","Murder",0
"Cheshire","0900914160","1999","Number","Murder",0
"Chester","0900714300","1999","Number","Murder",0
"Clinton","0900715350","1999","Number","Murder",0
"Colchester","0901115910","1999","Number","Murder",0
"Colebrook","0900516050","1999","Number","Murder",0
"Columbia","0901316400","1999","Number","Murder",0
"Connecticut","09","1999","Number","Murder",107
"Cornwall","0900517240","1999","Number","Murder",0
"Coventry","0901317800","1999","Number","Murder",0
"Cromwell","0900718080","1999","Number","Murder",0
"Danbury","0900118500","1999","Number","Murder",1
"Darien","0900118850","1999","Number","Murder",1
"Deep River","0900719130","1999","Number","Murder",0
"Derby","0900919550","1999","Number","Murder",0
"Durham","0900720810","1999","Number","Murder",0
"East Granby","0900322070","1999","Number","Murder",0
"East Haddam","0900722280","1999","Number","Murder",0
"East Hampton","0900722490","1999","Number","Murder",0
"East Hartford","0900322630","1999","Number","Murder",5
"East Haven","0900922910","1999","Number","Murder",0
"East Lyme","0901123400","1999","Number","Murder",0
"East Windsor","0900324800","1999","Number","Murder",0
"Eastford","0901521860","1999","Number","Murder",0
"Easton","0900123890","1999","Number","Murder",0
"Ellington","0901325360","1999","Number","Murder",0
"Enfield","0900325990","1999","Number","Murder",0
"Essex","0900726270","1999","Number","Murder",1
"Fairfield","0900126620","1999","Number","Murder",0
"Farmington","0900327600","1999","Number","Murder",0
"Franklin","0901129910","1999","Number","Murder",0
"Glastonbury","0900331240","1999","Number","Murder",1
"Goshen","0900532290","1999","Number","Murder",0
"Granby","0900332640","1999","Number","Murder",0
"Greenwich","0900133620","1999","Number","Murder",0
"Griswold","0901133900","1999","Number","Murder",0
"Groton","0901134250","1999","Number","Murder",0
"Guilford","0900934950","1999","Number","Murder",0
"Haddam","0900735230","1999","Number","Murder",0
"Hamden","0900935650","1999","Number","Murder",1
"Hampton","0901536000","1999","Number","Murder",0
"Hartford","0900337070","1999","Number","Murder",21
"Hartland","0900337140","1999","Number","Murder",0
"Harwinton","0900537280","1999","Number","Murder",0
"Hebron","0901337910","1999","Number","Murder",0
"Kent","0900540290","1999","Number","Murder",0
"Killingly","0901540500","1999","Number","Murder",0
"Killingworth","0900740710","1999","Number","Murder",0
"Lebanon","0901142390","1999","Number","Murder",0
"Ledyard","0901142600","1999","Number","Murder",0
"Lisbon","0901143230","1999","Number","Murder",0
"Litchfield","0900543370","1999","Number","Murder",0
"Lyme","0901144210","1999","Number","Murder",0
"Madison","0900944560","1999","Number","Murder",1
"Manchester","0900344700","1999","Number","Murder",0
"Mansfield","0901344910","1999","Number","Murder",0
"Marlborough","0900345820","1999","Number","Murder",0
"Meriden","0900946520","1999","Number","Murder",3
"Middlebury","0900946940","1999","Number","Murder",0
"Middlefield","0900747080","1999","Number","Murder",0
"Middletown","0900747360","1999","Number","Murder",0
"Milford","0900947535","1999","Number","Murder",1
"Monroe","0900148620","1999","Number","Murder",1
"Montville","0901148900","1999","Number","Murder",2
"Morris","0900549460","1999","Number","Murder",0
"Naugatuck","0900949950","1999","Number","Murder",0
"New Britain","0900350440","1999","Number","Murder",1
"New Canaan","0900150580","1999","Number","Murder",0
"New Fairfield","0900150860","1999","Number","Murder",0
"New Hartford","0900551350","1999","Number","Murder",0
"New Haven","0900952070","1999","Number","Murder",12
"New London","0901152350","1999","Number","Murder",1
"New Milford","0900552630","1999","Number","Murder",0
"Newington","0900352140","1999","Number","Murder",1
"Newtown","0900152980","1999","Number","Murder",1
"Norfolk","0900553470","1999","Number","Murder",0
"North Branford","0900953890","1999","Number","Murder",0
"North Canaan","0900554030","1999","Number","Murder",0
"North Haven","0900954870","1999","Number","Murder",0
"North Stonington","0901155500","1999","Number","Murder",0
"Norwalk","0900156060","1999","Number","Murder",0
"Norwich","0901156270","1999","Number","Murder",2
"Old Lyme","0901157040","1999","Number","Murder",0
"Old Saybrook","0900757320","1999","Number","Murder",0
"Orange","0900957600","1999","Number","Murder",0
"Oxford","0900958300","1999","Number","Murder",0
"Plainfield","0901559980","1999","Number","Murder",0
"Plainville","0900360120","1999","Number","Murder",0
"Plymouth","0900560750","1999","Number","Murder",1
"Pomfret","0901561030","1999","Number","Murder",1
"Portland","0900761800","1999","Number","Murder",0
"Preston","0901162150","1999","Number","Murder",0
"Prospect","0900962290","1999","Number","Murder",0
"Putnam","0901562710","1999","Number","Murder",0
"Redding","0900163480","1999","Number","Murder",0
"Ridgefield","0900163970","1999","Number","Murder",0
"Rocky Hill","0900365370","1999","Number","Murder",0
"Roxbury","0900565930","1999","Number","Murder",0
"Salem","0901166210","1999","Number","Murder",0
"Salisbury","0900566420","1999","Number","Murder",0
"Scotland","0901567400","1999","Number","Murder",0
"Seymour","0900967610","1999","Number","Murder",0
"Sharon","0900567960","1999","Number","Murder",0
"Shelton","0900168170","1999","Number","Murder",0
"Sherman","0900168310","1999","Number","Murder",0
"Simsbury","0900368940","1999","Number","Murder",0
"Somers","0901369220","1999","Number","Murder",0
"South Windsor","0900371390","1999","Number","Murder",0
"Southbury","0900969640","1999","Number","Murder",0
"Southington","0900370550","1999","Number","Murder",1
"Sprague","0901171670","1999","Number","Murder",0
"Stafford","0901372090","1999","Number","Murder",0
"Stamford","0900173070","1999","Number","Murder",3
"Sterling","0901573420","1999","Number","Murder",0
"Stonington","0901173770","1999","Number","Murder",0
"Stratford","0900174190","1999","Number","Murder",1
"Suffield","0900374540","1999","Number","Murder",0
"Thomaston","0900575730","1999","Number","Murder",0
"Thompson","0901575870","1999","Number","Murder",0
"Tolland","0901376290","1999","Number","Murder",0
"Torrington","0900576570","1999","Number","Murder",0
"Trumbull","0900177200","1999","Number","Murder",0
"Union","0901377830","1999","Number","Murder",0
"Vernon","0901378250","1999","Number","Murder",0
"Voluntown","0901178600","1999","Number","Murder",0
"Wallingford","0900978740","1999","Number","Murder",0
"Warren","0900579510","1999","Number","Murder",0
"Washington","0900579720","1999","Number","Murder",0
"Waterbury","0900980070","1999","Number","Murder",3
"Waterford","0901180280","1999","Number","Murder",1
"Watertown","0900580490","1999","Number","Murder",0
"West Hartford","0900382590","1999","Number","Murder",0
"West Haven","0900982870","1999","Number","Murder",1
"Westbrook","0900781680","1999","Number","Murder",0
"Weston","0900183430","1999","Number","Murder",0
"Westport","0900183500","1999","Number","Murder",0
"Wethersfield","0900384900","1999","Number","Murder",1
"Willington","0901385950","1999","Number","Murder",0
"Wilton","0900186370","1999","Number","Murder",0
"Winchester","0900586440","1999","Number","Murder",1
"Windham","0901586790","1999","Number","Murder",0
"Windsor","0900387000","1999","Number","Murder",0
"Windsor Locks","0900387070","1999","Number","Murder",0
"Wolcott","0900987560","1999","Number","Murder",0
"Woodbridge","0900987700","1999","Number","Murder",0
"Woodbury","0900587910","1999","Number","Murder",0
"Woodstock","0901588190","1999","Number","Murder",0
"Andover","0901301080","2000","Number","Murder",0
"Ansonia","0900901220","2000","Number","Murder",0
"Ashford","0901501430","2000","Number","Murder",0
"Avon","0900302060","2000","Number","Murder",0
"Barkhamsted","0900502760","2000","Number","Murder",0
"Beacon Falls","0900903250","2000","Number","Murder",0
"Berlin","0900304300","2000","Number","Murder",0
"Bethany","0900904580","2000","Number","Murder",0
"Bethel","0900104720","2000","Number","Murder",0
"Bethlehem","0900504930","2000","Number","Murder",0
"Bloomfield","0900305910","2000","Number","Murder",1
"Bolton","0901306260","2000","Number","Murder",0
"Bozrah","0901106820","2000","Number","Murder",0
"Branford","0900907310","2000","Number","Murder",0
"Bridgeport","0900108070","2000","Number","Murder",19
"Bridgewater","0900508210","2000","Number","Murder",0
"Bristol","0900308490","2000","Number","Murder",0
"Brookfield","0900108980","2000","Number","Murder",0
"Brooklyn","0901509190","2000","Number","Murder",0
"Burlington","0900310100","2000","Number","Murder",0
"Canaan","0900510940","2000","Number","Murder",0
"Canterbury","0901512130","2000","Number","Murder",0
"Canton","0900312270","2000","Number","Murder",0
"Chaplin","0901513810","2000","Number","Murder",0
"Cheshire","0900914160","2000","Number","Murder",0
"Chester","0900714300","2000","Number","Murder",0
"Clinton","0900715350","2000","Number","Murder",0
"Colchester","0901115910","2000","Number","Murder",0
"Colebrook","0900516050","2000","Number","Murder",0
"Columbia","0901316400","2000","Number","Murder",0
"Connecticut","09","2000","Number","Murder",98
"Cornwall","0900517240","2000","Number","Murder",0
"Coventry","0901317800","2000","Number","Murder",0
"Cromwell","0900718080","2000","Number","Murder",0
"Danbury","0900118500","2000","Number","Murder",3
"Darien","0900118850","2000","Number","Murder",0
"Deep River","0900719130","2000","Number","Murder",0
"Derby","0900919550","2000","Number","Murder",1
"Durham","0900720810","2000","Number","Murder",0
"East Granby","0900322070","2000","Number","Murder",0
"East Haddam","0900722280","2000","Number","Murder",0
"East Hampton","0900722490","2000","Number","Murder",0
"East Hartford","0900322630","2000","Number","Murder",3
"East Haven","0900922910","2000","Number","Murder",1
"East Lyme","0901123400","2000","Number","Murder",0
"East Windsor","0900324800","2000","Number","Murder",0
"Eastford","0901521860","2000","Number","Murder",0
"Easton","0900123890","2000","Number","Murder",0
"Ellington","0901325360","2000","Number","Murder",0
"Enfield","0900325990","2000","Number","Murder",1
"Essex","0900726270","2000","Number","Murder",0
"Fairfield","0900126620","2000","Number","Murder",0
"Farmington","0900327600","2000","Number","Murder",0
"Franklin","0901129910","2000","Number","Murder",0
"Glastonbury","0900331240","2000","Number","Murder",0
"Goshen","0900532290","2000","Number","Murder",0
"Granby","0900332640","2000","Number","Murder",0
"Greenwich","0900133620","2000","Number","Murder",1
"Griswold","0901133900","2000","Number","Murder",0
"Groton","0901134250","2000","Number","Murder",0
"Guilford","0900934950","2000","Number","Murder",4
"Haddam","0900735230","2000","Number","Murder",0
"Hamden","0900935650","2000","Number","Murder",0
"Hampton","0901536000","2000","Number","Murder",0
"Hartford","0900337070","2000","Number","Murder",17
"Hartland","0900337140","2000","Number","Murder",0
"Harwinton","0900537280","2000","Number","Murder",0
"Hebron","0901337910","2000","Number","Murder",0
"Kent","0900540290","2000","Number","Murder",0
"Killingly","0901540500","2000","Number","Murder",0
