Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Ansonia Police Dept,CT,12,      19285,          30,           3,           3,          17,           7,         354,          44,         271,          39,         155.6,          15.6,          15.6,          88.2,          36.3,       1835.6,         228.2,       1405.2,         202.2
Avon Police Dept,CT,12,      18131,           0,           0,           0,           0,           0,         179,          28,         149,           2,            .0,            .0,            .0,            .0,            .0,         987.3,         154.4,         821.8,          11.0
Berlin Police Dept,CT,12,      19903,          15,           0,           1,           6,           8,         379,          80,         279,          20,          75.4,            .0,           5.0,          30.1,          40.2,       1904.2,         401.9,       1401.8,         100.5
Bethel Police Dept,CT,12,      18618,           1,           0,           0,           1,           0,         306,          47,         253,           6,           5.4,            .0,            .0,           5.4,            .0,       1643.6,         252.4,       1358.9,          32.2
Bloomfield Police Dept,CT,12,      20524,          43,           1,           6,           8,          28,         455,          83,         345,          27,         209.5,           4.9,          29.2,          39.0,         136.4,       2216.9,         404.4,       1681.0,         131.6
Branford Police Dept,CT,12,      28078,          26,           0,           0,          11,          15,         749,          81,         613,          55,          92.6,            .0,            .0,          39.2,          53.4,       2667.6,         288.5,       2183.2,         195.9
Bridgeport Police Dept,CT,12,     144496,       1447,          20,         116,         610,         701,       5607,       1540,       3025,       1042,       1001.4,          13.8,          80.3,         422.2,         485.1,       3880.4,       1065.8,       2093.5,         721.1
Bristol Police Dept,CT,12,      60589,         118,           1,          10,          52,          55,       1496,         365,       1017,         114,         194.8,           1.7,          16.5,          85.8,          90.8,       2469.1,         602.4,       1678.5,         188.2
Brookfield Police Dept,CT,12,      16482,          10,           0,           1,           5,           4,         200,          34,         160,           6,          60.7,            .0,           6.1,          30.3,          24.3,       1213.4,         206.3,         970.8,          36.4
Canton Town Police Dept,CT,12,      10311,           2,           0,           1,           0,           1,         106,          21,          82,           3,          19.4,            .0,           9.7,            .0,           9.7,       1028.0,         203.7,         795.3,          29.1
Cheshire Police Dept,CT,12,      29315,          12,           0,           0,           3,           9,         284,          71,         204,           9,          40.9,            .0,            .0,          10.2,          30.7,         968.8,         242.2,         695.9,          30.7
Clinton Police Dept,CT,12,      13285,          19,           0,           7,           2,          10,         318,          54,         262,           2,         143.0,            .0,          52.7,          15.1,          75.3,       2393.7,         406.5,       1972.1,          15.1
Coventry Police Dept,CT,12,      12458,          15,           0,           5,           4,           6,         191,          67,         118,           6,         120.4,            .0,          40.1,          32.1,          48.2,       1533.2,         537.8,         947.2,          48.2
Cromwell Police Dept,CT,12,      14031,           6,           0,           1,           4,           1,         340,          28,         297,          15,          42.8,            .0,           7.1,          28.5,           7.1,       2423.2,         199.6,       2116.7,         106.9
Danbury Police Dept,CT,12,      81043,         164,           1,          34,          76,          53,       1588,         343,       1183,          62,         202.4,           1.2,          42.0,          93.8,          65.4,       1959.5,         423.2,       1459.7,          76.5
Darien Police Dept,CT,12,      20770,           6,           0,           0,           2,           4,         150,          21,         120,           9,          28.9,            .0,            .0,           9.6,          19.3,         722.2,         101.1,         577.8,          43.3
Derby Police Dept,CT,12,      12926,          22,           0,           1,           9,          12,         373,          75,         271,          27,         170.2,            .0,           7.7,          69.6,          92.8,       2885.7,         580.2,       2096.5,         208.9
East Hampton Police Dept,CT,12,      12983,          11,           1,           2,           0,           8,         245,          42,         197,           6,          84.7,           7.7,          15.4,            .0,          61.6,       1887.1,         323.5,       1517.4,          46.2
East Hartford Police,CT,12,      51347,         173,           0,          22,          79,          72,       1401,         325,         938,         138,         336.9,            .0,          42.8,         153.9,         140.2,       2728.5,         632.9,       1826.8,         268.8
East Haven Police Dept,CT,12,      29311,          24,           0,           0,          12,          12,         835,         117,         611,         107,          81.9,            .0,            .0,          40.9,          40.9,       2848.8,         399.2,       2084.5,         365.1
East Windsor Police Dept,CT,12,      11183,          14,           0,           3,           3,           8,         295,          55,         220,          20,         125.2,            .0,          26.8,          26.8,          71.5,       2637.9,         491.8,       1967.3,         178.8
Enfield Police Dept,CT,7,      44737,          22,           0,           0,           9,          13,         465,          94,         348,          23,,,,,,,,,
Fairfield Police Dept,CT,12,      59514,          24,           0,           1,           9,          14,       1131,         194,         885,          52,          40.3,            .0,           1.7,          15.1,          23.5,       1900.4,         326.0,       1487.0,          87.4
Farmington Police Dept,CT,12,      25387,          16,           0,           0,          12,           4,         623,          54,         562,           7,          63.0,            .0,            .0,          47.3,          15.8,       2454.0,         212.7,       2213.7,          27.6
Glastonbury Police Dept,CT,12,      34491,          21,           0,           2,           5,          14,         323,          73,         238,          12,          60.9,            .0,           5.8,          14.5,          40.6,         936.5,         211.6,         690.0,          34.8
Granby Police Dept,CT,12,      11303,           9,           0,           4,           3,           2,         113,          25,          85,           3,          79.6,            .0,          35.4,          26.5,          17.7,         999.7,         221.2,         752.0,          26.5
Greenwich Police Dept,CT,12,      61284,          27,           0,           3,          14,          10,         423,          79,         326,          18,          44.1,            .0,           4.9,          22.8,          16.3,         690.2,         128.9,         531.9,          29.4
Groton City Police Dept,CT,12,      10408,          24,           0,           4,           5,          15,         140,          13,         122,           5,         230.6,            .0,          38.4,          48.0,         144.1,       1345.1,         124.9,       1172.2,          48.0
Groton Town Police Dept,CT,12,      29262,          36,           0,           7,          12,          17,         553,          70,         458,          25,         123.0,            .0,          23.9,          41.0,          58.1,       1889.8,         239.2,       1565.2,          85.4
Guilford Police Dept,CT,12,      22416,          16,           0,           3,           1,          12,         347,          65,         272,          10,          71.4,            .0,          13.4,           4.5,          53.5,       1548.0,         290.0,       1213.4,          44.6
Hamden Police Dept,CT,12,      61073,          19,           2,           3,           9,           5,         115,          14,          92,           9,          31.1,           3.3,           4.9,          14.7,           8.2,         188.3,          22.9,         150.6,          14.7
Hartford Police Dept,CT,12,     125006,       1639,          27,          55,         602,         955,       5502,       1271,       3372,         859,       1311.1,          21.6,          44.0,         481.6,         764.0,       4401.4,       1016.8,       2697.5,         687.2
Madison Police Dept,CT,12,      18303,           5,           0,           0,           1,           4,         123,          26,          96,           1,          27.3,            .0,            .0,           5.5,          21.9,         672.0,         142.1,         524.5,           5.5
Manchester Police Dept,CT,12,      58349,         128,           1,           9,          53,          65,       1722,         256,       1380,          86,         219.4,           1.7,          15.4,          90.8,         111.4,       2951.2,         438.7,       2365.1,         147.4
