Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Meriden Police Dept,CT,12,      60981,         144,           0,           9,          57,          78,       1721,         444,       1136,         141,         236.1,            .0,          14.8,          93.5,         127.9,       2822.2,         728.1,       1862.9,         231.2
Middletown Police Dept,CT,12,      47736,          77,           0,          10,          30,          37,       1023,         143,         820,          60,         161.3,            .0,          20.9,          62.8,          77.5,       2143.0,         299.6,       1717.8,         125.7
Milford Police Dept,CT,12,      52857,          35,           1,           0,          23,          11,       1753,         158,       1515,          80,          66.2,           1.9,            .0,          43.5,          20.8,       3316.5,         298.9,       2866.2,         151.4
Monroe Police Dept,CT,12,      19515,           6,           0,           3,           1,           2,         181,          37,         138,           6,          30.7,            .0,          15.4,           5.1,          10.2,         927.5,         189.6,         707.1,          30.7
Naugatuck Police Dept,CT,12,      31921,          31,           0,          11,          11,           9,         606,          71,         498,          37,          97.1,            .0,          34.5,          34.5,          28.2,       1898.4,         222.4,       1560.1,         115.9
New Britain Police Dept,CT,12,      73341,         328,           3,           4,         143,         178,       2967,         881,       1768,         318,         447.2,           4.1,           5.5,         195.0,         242.7,       4045.5,       1201.2,       2410.7,         433.6
New Canaan Police Dept,CT,12,      19775,           4,           0,           1,           1,           2,         107,          14,          93,           0,          20.2,            .0,           5.1,           5.1,          10.1,         541.1,          70.8,         470.3,            .0
New Haven Police Dept,CT,12,     130019,       1748,          34,          55,         766,         893,       6479,       1413,       4124,         942,       1344.4,          26.2,          42.3,         589.1,         686.8,       4983.1,       1086.8,       3171.8,         724.5
New London Police Dept,CT,12,      27671,         319,           3,          18,          41,         257,         814,         227,         538,          49,       1152.8,          10.8,          65.1,         148.2,         928.8,       2941.7,         820.4,       1944.3,         177.1
New Milford Police Dept,CT,12,      28194,          18,           0,           3,           5,          10,         474,           8,         453,          13,          63.8,            .0,          10.6,          17.7,          35.5,       1681.2,          28.4,       1606.7,          46.1
Newington Police Dept,CT,12,      30619,          26,           0,           3,          12,          11,         753,         104,         603,          46,          84.9,            .0,           9.8,          39.2,          35.9,       2459.3,         339.7,       1969.4,         150.2
Newtown Police Dept,CT,12,      27611,          13,           0,           6,           3,           4,         189,          54,         130,           5,          47.1,            .0,          21.7,          10.9,          14.5,         684.5,         195.6,         470.8,          18.1
North Branford Police Dept,CT,12,      14434,           1,           0,           0,           1,           0,         247,          33,         190,          24,           6.9,            .0,            .0,           6.9,            .0,       1711.2,         228.6,       1316.3,         166.3
North Haven Police Dept,CT,12,      24138,          11,           0,           0,           6,           5,         599,          88,         483,          28,          45.6,            .0,            .0,          24.9,          20.7,       2481.6,         364.6,       2001.0,         116.0
Norwalk Police Dept,CT,12,      85761,         326,           3,          15,          90,         218,       1914,         297,       1443,         174,         380.1,           3.5,          17.5,         104.9,         254.2,       2231.8,         346.3,       1682.6,         202.9
Norwich Police Dept,CT,12,      40568,         133,           2,          25,          45,          61,         856,         235,         570,          51,         327.8,           4.9,          61.6,         110.9,         150.4,       2110.0,         579.3,       1405.0,         125.7
Old Saybrook Police Dept,CT,12,      10261,           8,           0,           2,           1,           5,         169,          21,         143,           5,          78.0,            .0,          19.5,           9.7,          48.7,       1647.0,         204.7,       1393.6,          48.7
Orange Police Dept,CT,12,      13982,           4,           0,           1,           3,           0,         406,          61,         329,          16,          28.6,            .0,           7.2,          21.5,            .0,       2903.7,         436.3,       2353.0,         114.4
Plainfield Police Dept,CT,12,      15433,           7,           0,           2,           1,           4,          50,          18,          28,           4,          45.4,            .0,          13.0,           6.5,          25.9,         324.0,         116.6,         181.4,          25.9
Plainville Police Dept,CT,12,      17749,          64,           0,           2,           5,          57,         541,          57,         462,          22,         360.6,            .0,          11.3,          28.2,         321.1,       3048.1,         321.1,       2603.0,         124.0
Plymouth Police Dept,CT,12,      12266,           2,           0,           0,           1,           1,         166,          35,         126,           5,          16.3,            .0,            .0,           8.2,           8.2,       1353.3,         285.3,       1027.2,          40.8
Ridgefield Police Dept,CT,12,      24684,           0,           0,           0,           0,           0,          67,          12,          55,           0,            .0,            .0,            .0,            .0,            .0,         271.4,          48.6,         222.8,            .0
Rocky Hill Police Dept,CT,12,      19745,           6,           0,           1,           3,           2,         266,          28,         236,           2,          30.4,            .0,           5.1,          15.2,          10.1,       1347.2,         141.8,       1195.2,          10.1
Seymour Police Dept,CT,12,      16571,          15,           0,           2,           4,           9,         229,          59,         162,           8,          90.5,            .0,          12.1,          24.1,          54.3,       1381.9,         356.0,         977.6,          48.3
Shelton Police Dept,CT,12,      39632,          27,           0,           2,          10,          15,         524,         131,         349,          44,          68.1,            .0,           5.0,          25.2,          37.8,       1322.2,         330.5,         880.6,         111.0
Simsbury Police Dept,CT,12,      23554,           6,           0,           1,           2,           3,         181,          20,         156,           5,          25.5,            .0,           4.2,           8.5,          12.7,         768.4,          84.9,         662.3,          21.2
South Windsor Police Dept,CT,12,      25757,          16,           0,           7,           4,           5,         426,          78,         335,          13,          62.1,            .0,          27.2,          15.5,          19.4,       1653.9,         302.8,       1300.6,          50.5
Southington Police Dept,CT,12,      43149,          29,           1,           9,          13,           6,         770,         124,         620,          26,          67.2,           2.3,          20.9,          30.1,          13.9,       1784.5,         287.4,       1436.9,          60.3
Stamford Police Dept,CT,12,     122870,         389,           6,          32,         190,         161,       1987,         282,       1498,         207,         316.6,           4.9,          26.0,         154.6,         131.0,       1617.2,         229.5,       1219.2,         168.5
Stonington Police Dept,CT,12,      18579,          12,           0,           5,           3,           4,         312,          52,         255,           5,          64.6,            .0,          26.9,          16.1,          21.5,       1679.3,         279.9,       1372.5,          26.9
Stratford Police Dept,CT,12,      51479,         146,           1,           9,          59,          77,       1541,         309,       1104,         128,         283.6,           1.9,          17.5,         114.6,         149.6,       2993.5,         600.2,       2144.6,         248.6
Suffield Police Dept,CT,12,      15764,           2,           0,           0,           0,           2,          95,          33,          58,           4,          12.7,            .0,            .0,            .0,          12.7,         602.6,         209.3,         367.9,          25.4
Torrington Police Dept,CT,12,      36450,          61,           0,          17,          14,          30,         751,         146,         584,          21,         167.4,            .0,          46.6,          38.4,          82.3,       2060.4,         400.5,       1602.2,          57.6
Trumbull Police Dept,CT,12,      36085,          20,           0,           0,          14,           6,         690,          69,         598,          23,          55.4,            .0,            .0,          38.8,          16.6,       1912.2,         191.2,       1657.2,          63.7
Vernon Police Dept,CT,12,      29233,          30,           0,           7,           8,          15,         306,          67,         206,          33,         102.6,            .0,          23.9,          27.4,          51.3,       1046.8,         229.2,         704.7,         112.9
Wallingford Police Dept,CT,12,      45218,          28,           2,           2,          15,           9,         853,         126,         691,          36,          61.9,           4.4,           4.4,          33.2,          19.9,       1886.4,         278.7,       1528.2,          79.6
Waterbury Police Dept,CT,12,     110570,         359,           7,           9,         183,         160,       4571,         818,       3326,         427,         324.7,           6.3,           8.1,         165.5,         144.7,       4134.0,         739.8,       3008.0,         386.2
Waterford Police Dept,CT,12,      19553,          52,           0,           1,           1,          50,         485,          46,         434,           5,         265.9,            .0,           5.1,           5.1,         255.7,       2480.4,         235.3,       2219.6,          25.6
Watertown Police Dept,CT,12,      22556,          37,           0,           3,           7,          27,         448,          88,         337,          23,         164.0,            .0,          13.3,          31.0,         119.7,       1986.2,         390.1,       1494.1,         102.0
West Hartford Police Dept,CT,12,      63385,          68,           1,           4,          46,          17,       1517,         231,       1180,         106,         107.3,           1.6,           6.3,          72.6,          26.8,       2393.3,         364.4,       1861.6,         167.2
West Haven Police Dept,CT,12,      55667,         245,           1,           0,          44,         200,       1265,         203,         880,         182,         440.1,           1.8,            .0,          79.0,         359.3,       2272.4,         364.7,       1580.8,         326.9
Weston Police Dept,CT,12,      10198,           1,           0,           0,           0,           1,          54,           9,          44,           1,           9.8,            .0,            .0,            .0,           9.8,         529.5,          88.3,         431.5,           9.8
Westport Police Dept,CT,12,      26440,          20,           1,           3,           5,          11,         404,          89,         301,          14,          75.6,           3.8,          11.3,          18.9,          41.6,       1528.0,         336.6,       1138.4,          53.0
Wethersfield Police Dept,CT,12,      26717,          22,           0,           9,           6,           7,         366,          58,         291,          17,          82.3,            .0,          33.7,          22.5,          26.2,       1369.9,         217.1,       1089.2,          63.6
Willimantic Police Dept,CT,12,      17770,          31,           1,           1,          14,          15,         391,          61,         301,          29,         174.5,           5.6,           5.6,          78.8,          84.4,       2200.3,         343.3,       1693.9,         163.2
Wilton Police Dept,CT,12,      18095,           2,           0,           0,           0,           2,         116,          17,          98,           1,          11.1,            .0,            .0,            .0,          11.1,         641.1,          93.9,         541.6,           5.5
Winchester Town Police Dept,CT,12,      11263,          11,           0,           4,           1,           6,         223,          65,         150,           8,          97.7,            .0,          35.5,           8.9,          53.3,       1979.9,         577.1,       1331.8,          71.0
Windsor Police Dept,CT,12,      29098,          22,           0,           9,           7,           6,         466,          58,         391,          17,          75.6,            .0,          30.9,          24.1,          20.6,       1601.5,         199.3,       1343.7,          58.4
Windsor Locks Police Dept,CT,12,      12521,          12,           0,           0,           4,           8,         198,          33,         158,           7,          95.8,            .0,            .0,          31.9,          63.9,       1581.3,         263.6,       1261.9,          55.9
Wolcott Police Dept,CT,12,      16711,           4,           0,           2,           1,           1,         303,          56,         230,          17,          23.9,            .0,          12.0,           6.0,           6.0,       1813.2,         335.1,       1376.3,         101.7
